vilref,new_km_N,new_km_E,lr_pop
25-333-14123,113.73884417634903,494.8208945203883,357
25-333-37435,100.74089947459431,493.07093347709304,237
25-333-42792,105.09896955792435,493.8401342443521,410
25-333-45609,82.19195392790384,493.95242424835214,381
25-333-19009,85.69237021858864,479.79670936852614,130
25-333-33881,102.4750204971039,504.0742623299147,216
25-333-2878,104.21488751431602,471.49787035410435,97
25-333-9307,100.87537028237196,479.1121048822218,332
25-333-44047,109.3490908622645,491.524499854898,84
25-333-16162,104.78787497130249,498.1043117040631,117
25-333-5980,87.62760672193723,494.16118546507266,187
25-333-4863,108.62554547459614,503.9321831838725,468
25-333-18168,114.52410274828456,486.7178486963785,165
25-333-1572,83.80294602507412,500.82051001471086,1558
25-333-25016,83.59745780068911,491.66787814290444,281
25-333-25614,107.27308158178148,472.35031290975985,143
25-333-45720,102.33046709247459,492.3761317357622,95
25-333-13605,89.99828255806712,492.29338703833577,128
25-333-17473,98.88008851868669,505.88198913820855,1970
25-333-17942,100.85713431440969,485.48443650892455,83
25-333-22985,82.64896507635707,482.229872361725,259
25-333-40071,104.39559841022253,488.78883986920175,123
25-333-24528,89.5441624776097,494.59503193464366,321
25-333-9017,97.82100178304255,487.8781679611312,59
25-333-23578,88.75579044768351,483.26722374970984,110
25-333-17710,97.50238337753248,497.3140133516969,1590
25-333-20214,100.57754078931005,488.26490420960806,615
25-333-3129,105.89437568634446,502.860931007673,1328
25-333-34897,102.46946075073585,481.7081727841311,770
25-333-19020,94.93155667349251,481.12773819296825,125
25-333-32083,89.67537249104952,484.26915980997404,138
25-333-35489,107.27308158178148,490.7756499387942,187
25-333-33969,94.78700326889556,489.6035723425183,102
25-333-31077,107.94469893873267,478.25751405433016,280
25-333-13759,102.08550466905047,465.91243281238576,93
25-333-47632,105.86980160759767,465.7399383858726,80
25-333-16090,108.20244877872922,499.71876208009576,346
25-333-24747,108.49288992709036,493.3374548285601,288
25-333-3992,85.1600801048067,483.30661023885244,668
25-333-3218,107.55592462813819,493.21171943352954,182
25-333-8089,101.35284129738201,505.0994765866078,136
25-333-33815,100.10545661030125,486.24106786986835,356
25-333-13852,89.04200618884919,498.31289843611154,1280
25-333-11987,95.34231073254142,491.9886653208956,1167
25-333-24242,94.7958988630576,484.77271831078286,100
25-333-33040,88.15311394530352,502.6534690161505,161
25-333-1722,98.09749862494857,491.1435970958044,113
25-333-13136,117.59074763021444,482.3257475574152,247
25-333-40069,115.13122704782663,504.583846769898,136
25-333-24498,83.88211681287476,489.0145094705804,202
25-333-30947,98.80447596853739,499.84469106070577,756
25-333-26894,109.73048946070563,482.19273151532974,32
25-333-42795,105.0179638940055,488.8549578636273,19
25-333-40070,99.06615015027342,492.14613668098957,853
25-333-25153,102.61767851089083,488.45334397976643,1400
25-333-46216,87.51596701565666,487.3172790270495,1395
25-333-1919,98.78080463886502,491.40507784941497,391
25-333-30414,104.99136168706876,459.0111437609463,10
25-333-46229,85.80022929749002,492.12910681571543,46
25-333-48209,103.97022083298623,491.48388592588026,61
25-333-35866,103.08659259367735,507.51610622313717,490
25-333-19940,104.04064506428212,477.36526236770214,26
25-333-14844,110.58402171757109,486.249446087531,403
25-333-35183,103.09548818779363,474.87074997848106,70
25-333-6940,104.27571113916309,463.6471973338537,65
25-333-45626,104.30640093896889,468.1360251856221,53
25-333-8543,115.58812700135815,499.37966920590554,843
25-333-37193,85.81579658725438,506.5910860729348,1812
25-336-28423,50.03549309160883,585.0626689236342,506
25-336-46535,39.58872973330108,593.0858212035015,491
25-336-33258,44.91385477031322,582.7371264359671,1230
25-336-27651,45.296365317988574,597.0209175598475,1384
25-336-37688,37.83963353702841,570.7560202646249,820
25-336-37431,34.7151845158107,577.7382765415432,221
25-336-24041,41.145458706276166,567.4683684506883,131
25-336-14279,38.773670920889145,569.8751703741193,417
25-336-17437,23.364277986571544,581.2146793294519,569
25-336-33187,37.30700983845054,568.7378350696451,175
25-336-26280,35.91151350911871,570.005570814183,134
25-336-46314,28.4147515545969,587.3087525489342,1319
25-336-36529,48.36089749626351,562.2609258508754,55
25-336-21252,44.41125370189404,584.7889239638704,23
25-336-5809,41.98614477432856,578.1524658873145,1702
25-336-20554,40.65728904922097,570.9540576061178,100
25-336-35752,26.482183729861603,575.8675048306482,103
25-336-27652,41.64250002831144,593.0253739637052,517
25-336-23157,27.770932929599493,584.5885805368223,421
25-336-29332,51.59778181085714,570.4537680534573,52
25-336-37028,35.43644966918689,577.3138899937949,510
25-336-8544,40.201191389271266,572.9537329058287,99
25-336-7817,20.48733164937824,580.2013811017654,568
25-336-30253,52.699723534029815,584.9504076051629,142
25-336-3988,52.86240171155781,580.9272876796523,1039
25-336-30666,51.12297947405421,586.9218847137988,447
25-336-11466,45.597369984371035,572.7866314895534,254
25-336-6866,45.18027922280392,564.9171488498959,629
25-336-17823,34.955237140133214,585.5609361068724,889
25-336-22647,32.76136123731752,580.0229698971443,100
25-336-7020,34.88540672604889,574.3763807838519,118
25-336-2340,45.83988611932872,561.6880170207301,97
25-336-10336,31.00370303187595,572.781018262562,93
25-336-10764,45.66553247443507,579.6029347035234,649
25-336-3740,28.58054319040362,595.1161525231341,656
25-336-31917,35.22766471040342,583.1032728531342,828
25-336-14212,38.444756327984905,595.7358195435348,940
25-336-53045,40.52441321900722,580.7053821108451,1
25-336-35210,42.66994115057815,571.3173452386201,119
25-336-15674,40.19741076176572,590.1213918732471,325
25-336-38087,39.1176392035576,583.9670289809272,74
25-336-11970,48.9654643124208,565.1055098642033,121
25-336-22178,30.04153333166918,582.7440348618634,281
25-336-11852,39.963234246246905,579.3535386110807,157
25-336-24266,50.877238686263304,576.2336571591438,679
25-336-37429,45.00076862813234,577.929934448842,15
25-336-33131,51.95026972833065,572.8458726192285,336
25-336-36598,45.061744022688934,587.2034001827172,135
25-336-47199,54.77462086516396,576.3295130235887,509
25-336-52936,43.101494422884876,579.7599726302542,233
25-336-6865,38.47466776318123,572.7255768473774,628
25-336-33639,44.314514115669176,571.92098466528455,181
25-336-13120,29.19433918563787,575.8053279890456,42
25-336-30380,36.87001377680984,587.9158234554194,877
25-336-10790,26.559575398807457,592.4635596260341,412
25-336-7072,33.83517064398426,585.9946957761032,277
25-336-11307,38.629673491004986,568.7311854922586,130
25-336-12400,42.46512009569772,567.4219076292051,288
25-336-2974,33.63679889477153,595.1286736747228,546
25-336-37430,35.48264099022984,577.214100292358,121
25-336-53044,38.22851950992384,577.7485222724181,57
25-336-37690,40.65983459676517,580.7122182962147,318
25-336-38088,36.43814651642208,577.2632385512765,144
25-336-5158,31.05485269797339,591.9108116408364,1087
25-336-21026,47.23782873705678,565.0865972716609,91
25-336-8505,35.34397460363226,576.87830902318,326
25-336-38086,38.31092213193599,582.3811760041842,153
25-336-6821,44.152280717786006,564.2274120097488,123
25-336-52507,34.21467892856083,590.8941713835773,19
25-336-40379,36.03287176933061,578.1640563482322,322
25-336-28389,48.84459542721666,559.2694250261343,57
25-336-18585,30.381789807114014,596.3093733918465,572
25-336-1382,29.009310827451795,578.9284077468104,220
25-336-37689,37.098642360348705,583.2482737178053,209
25-336-5897,24.70417685265097,588.8974975648335,307
25-336-18552,25.211225718054294,581.7975794634557,731
25-336-11215,42.88343540978118,587.4166091653317,370
25-336-30831,27.53742358337184,590.2387466814719,360
25-336-2358,31.44703720430389,580.5870461119193,121
25-336-45091,37.43499648616882,581.9001189368331,22
25-336-5842,45.206964596977315,592.5228843544608,1525
25-336-7019,22.6383975057463,583.8234750219269,410
25-336-8672,53.500438200782796,572.0704694914954,134
25-336-27476,46.65405537217427,570.3026418686113,37
25-336-16813,41.38008000146479,571.9917978187586,227
25-336-23305,43.43767039339055,583.2929849083771,100
25-336-10516,39.29639827107305,583.772180087927,131
25-337-6684,112.84083394879256,603.8862193433366,217
25-337-49239,111.07261222530263,643.7391564131385,101
25-337-20911,123.98757890062853,623.5714176291118,344
25-337-47773,116.43109574025662,637.3791359942461,495
25-337-37204,109.90284159697693,631.254732862889,62
25-337-47850,115.0117530822052,615.8090333477534,146
25-337-48482,118.64049681436724,619.1187662692881,98
25-337-5823,103.94223755422618,631.4410653432504,119
25-337-19565,130.1180792609272,616.4428315567052,1009
25-337-4634,104.74184027169623,645.3672218003392,489
25-337-17108,115.82063559293083,630.2868041362246,237
25-337-46249,127.98980836495363,609.5806778659735,300
25-337-47851,113.75365005922272,616.8021004682587,712
25-337-45038,96.68732456521793,620.914782084229,839
25-337-37787,112.35164736780274,616.6724853898983,551
25-337-36990,113.50202362858238,627.4148410398998,582
25-337-7134,109.7019123644858,613.5631935846558,788
25-337-34532,130.68072558975172,612.306729281116,1213
25-337-22608,130.255960969982,607.6162169987161,777
25-337-19178,105.63518031235849,630.6580884094749,920
25-337-12826,116.15866816998393,619.2404185378808,358
25-337-23119,100.12991949414598,630.9542521233128,616
25-337-34467,99.28261415314695,639.9098599450294,1120
25-337-15146,105.87458298939764,623.3529626007642,979
25-337-35771,113.30429440302456,641.7567339692613,1119
25-337-37543,110.35892970764134,616.8495924466911,679
25-337-9673,112.33211715935629,612.4229552002921,224
25-337-31765,98.52760060116877,613.2185751152232,714
25-337-31220,104.68779953733684,632.6034395384595,591
25-337-47849,116.12368353186629,622.8401500158441,571
25-337-31599,99.25592737076055,614.1286919056402,326
25-337-4037,116.79992931192416,605.3097119255477,388
25-337-13156,116.05685865781712,624.7483389595105,422
25-337-31861,111.1826952026491,619.4641452081762,270
